For 3 clusters, rmse is 24741.684363715805
For 4 clusters, rmse is 24867.008147970617
For 5 clusters, rmse is 24252.54222068033
For 6 clusters, rmse is 24641.850633580845
For 7 clusters, rmse is 24214.926809775494
For 8 clusters, rmse is 23191.2232812712
For 9 clusters, rmse is 23376.10813589125
For 10 clusters, rmse is 23710.235539578996
For 11 clusters, rmse is 23113.271218793605
For 12 clusters, rmse is 21304.186828445276
For 13 clusters, rmse is 20420.922812326266
For 14 clusters, rmse is 21259.017151473818
For 15 clusters, rmse is 20348.037045468584
For 16 clusters, rmse is 20543.16567127074
For 17 clusters, rmse is 20700.15552152389
For 18 clusters, rmse is 21221.784589608837
For 19 clusters, rmse is 20600.085483483446
For 20 clusters, rmse is 21044.938759473513
For 21 clusters, rmse is 21343.466516219178
For 22 clusters, rmse is 20979.480361147675
For 23 clusters, rmse is 20686.5477123745
For 24 clusters, rmse is 20341.62548589056
For 25 clusters, rmse is 20615.015226702297
For 26 clusters, rmse is 20667.353700713982
For 27 clusters, rmse is 20713.35082914076
For 28 clusters, rmse is 20690.000835239178
For 29 clusters, rmse is 20945.054769544047
For 30 clusters, rmse is 20287.458949245138
For 32 clusters, rmse is 19947.301430716998
For 33 clusters, rmse is 20173.20138036926
For 36 clusters, rmse is 20177.01777745373
For 37 clusters, rmse is 19681.161567023515
For 42 clusters, rmse is 19762.675461556704
For 43 clusters, rmse is 20387.820597861904
For 54 clusters, rmse is 19594.934512680422
For 55 clusters, rmse is 18948.85016818139
For 56 clusters, rmse is 18544.63218104413
For 57 clusters, rmse is 18119.2304874901
For 58 clusters, rmse is 18987.54583071912
For 59 clusters, rmse is 18141.616033637198
For 60 clusters, rmse is 18497.170303944702
For 61 clusters, rmse is 18453.52480651671
For 62 clusters, rmse is 18440.880989764995
For 63 clusters, rmse is 18779.780160432125
For 64 clusters, rmse is 18676.167490642914
For 65 clusters, rmse is 18218.614412200975
For 66 clusters, rmse is 18457.84539752571
For 67 clusters, rmse is 18634.317342762337
For 68 clusters, rmse is 18215.795057481253
For 69 clusters, rmse is 18319.467804956283
For 70 clusters, rmse is 18536.993502204983
For 71 clusters, rmse is 18659.226147868492
For 72 clusters, rmse is 18658.642566747072
For 73 clusters, rmse is 18772.01942918835
For 74 clusters, rmse is 18864.811421779083
For 75 clusters, rmse is 20178.930201904444
For 76 clusters, rmse is 20505.730870347317
For 77 clusters, rmse is 19985.260208481253
For 78 clusters, rmse is 19990.82881891638
For 79 clusters, rmse is 19747.942570920542
For 80 clusters, rmse is 19768.162565599872
For 81 clusters, rmse is 20022.467400348298
For 82 clusters, rmse is 20115.87422152619
For 83 clusters, rmse is 20194.09781293864
For 91 clusters, rmse is 19242.937985161498
For 92 clusters, rmse is 19878.081032284295
For 93 clusters, rmse is 19572.129564870294
For 94 clusters, rmse is 19882.020660114915
For 95 clusters, rmse is 19858.273204135116
For 96 clusters, rmse is 19279.112906044873
For 97 clusters, rmse is 20217.819196208067
For 98 clusters, rmse is 20178.93718643399
For 99 clusters, rmse is 18256.117169304885
For 100 clusters, rmse is 19139.74159321944
For 101 clusters, rmse is 19095.119430778494
For 102 clusters, rmse is 18963.517895303426
For 103 clusters, rmse is 19107.681042100932
For 104 clusters, rmse is 19549.745363847946
For 105 clusters, rmse is 19597.058726907002
For 106 clusters, rmse is 18355.16776161049
For 107 clusters, rmse is 18405.32295720952
For 108 clusters, rmse is 17811.25643845046
For 109 clusters, rmse is 18733.431203833472
For 110 clusters, rmse is 18803.28805558153
For 111 clusters, rmse is 18832.71088157498
For 112 clusters, rmse is 19124.320328997772
For 113 clusters, rmse is 18991.841884461577
For 114 clusters, rmse is 19149.732608625774
For 115 clusters, rmse is 19257.0549276331
For 116 clusters, rmse is 19369.41069178474
For 117 clusters, rmse is 18358.877330787695
For 118 clusters, rmse is 18052.61034220428
For 119 clusters, rmse is 17868.9605543683
For 120 clusters, rmse is 18456.33534099473
For 121 clusters, rmse is 18894.44528158368
For 122 clusters, rmse is 19386.067683220732
For 123 clusters, rmse is 18993.550815450173
For 124 clusters, rmse is 19404.767137527066
For 125 clusters, rmse is 17545.98516280758
For 126 clusters, rmse is 19024.303767396566
For 127 clusters, rmse is 17955.98364144415
For 128 clusters, rmse is 18063.925724790588
For 129 clusters, rmse is 18412.8728131265
For 130 clusters, rmse is 18179.448969607838
For 131 clusters, rmse is 19093.624805229076
For 132 clusters, rmse is 18804.938009693073
For 133 clusters, rmse is 18302.36545954976
For 134 clusters, rmse is 18424.21146084271
For 135 clusters, rmse is 18446.80021926502
For 136 clusters, rmse is 18377.389082211845
For 137 clusters, rmse is 18075.167728168635
For 138 clusters, rmse is 17763.750843184098
For 139 clusters, rmse is 17764.078324152233
For 140 clusters, rmse is 17807.43835326055
For 141 clusters, rmse is 18623.651495008624
For 142 clusters, rmse is 17665.323385602118
For 143 clusters, rmse is 20237.315375210826
For 144 clusters, rmse is 17916.072975220693
For 145 clusters, rmse is 20023.854745729917
For 146 clusters, rmse is 18553.091312956905
For 147 clusters, rmse is 17733.63283844565
For 148 clusters, rmse is 18498.48011052937
For 149 clusters, rmse is 18732.520574723614
For 150 clusters, rmse is 18157.702056650636

